Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
HGLG11,Logística,"161,20","6,48%",7.84,"1,02",5.446.560.000,6801320.0,26,"3.242,58","232,27","7,16%","6,43%","Rodovia BR 101, 5225, Cabo de Santo Agostinho, PE,Rodovia BR-381, s/n, km 483, Pista Norte, Jardim Piemonte, Betim, MG,Rua da Harmonia  Parque Industrial de Betim, Betim - MG,Av. Guido Caloi, 1.935, São Paulo, SP,Rodovia Anhanguera, km 31.775, Cidade de Cajamar,Rodovia Eng. Thales de Lorena Peixoto Júnio, Km 9.5, São Carlos, SP,Rua José Semião Rodrigues Agostinho, nº 1.370, Água Espraiada, Embu das Artes,Rua Tobias Bueno de Oliveira, 701, Monte Mor, SP,Estrada Joaquim Bueno Neto, 9835, Itupeva, SP,Rodovia BR 101, 5225, Cabo de Santo Agostinho, PE,Rua Iguaçu, 291/383, Blumenau, SC,Parque Duque, Duque de Caxias - RJ, 25085-009,Av. Hélio Ossamu Daikuara, nº 1.445, Jardim Vista Alegre, Embu das Artes,Avenida das Indústrias, s/n, CPI 5000, Vinhedo, SP,Rua Ambrósio Molina, 1090/1100, São José dos Campos, SP,Rodovia Anhanguera, km 317.5, Ribeirão Preto - SP,Estrada Joaquim Bueno Neto, 9835, Itupeva, SP,Estrada Municipal José Geraldo Aparecido e Rua Josepha Gomes de Souza, Extrema, MG,Estrada do Pedregoso, 900, Freguesia de Campo Grande, RJ,Rodovia SP 101, Km 9,5, Hortolândia , SP,Avenida Parque B, 347, Betim, MG,Avenida SN 1, 280, Parque Duque, Duque de Caxias - RJ,Avenida Piracema, nº 155, quadra 5, lotes 9 a 16 e 17 (parte), Tamboré, Barueri,Avenida Brasil, 3.464, Rio Claro, SP,Rua Atílio Biscuola, 1831, Louveira , SP,Rod. Pres. Castello Branco, altura do Km 34,5 - Ingahi, Cidade de Itapevi"
HGRE11,Lajes Corporativas,"113,79","6,26%",8.81,"0,75",1.344.740.000,1549880.0,16,"7.195,12","668,85","9,30%","26,34%","Rua Martiniano de Carvalho, 851 - São Paulo - SP,Avenida Braz Leme, 1.000 - São Paulo - SP,Avenida Marcos Penteado Ulhôa Rodrigues, 939 - Barueri - SP,Rua Alegria, 86 - São Paulo - SP,Av. Presidente Vargas, 3.131 - Rio de Janeiro - RJ,Rua Verbo Divino, 1.488 - São Paulo - SP,Rua Francisco Nunes, 1.395 - Curitiba - PR,Alameda Campinas, 1.070 - São Paulo - SP,Avenida das Nações Unidas, 11.633 - São Paulo - SP,Av. Maria Coelho Aguiar, 215 - São Paulo - SP,Rua Antônio das Chagas, 1.657 - São Paulo - SP,Rua José Lari e Rua Pedro Mari, Lotes 13 a 23 - Taboão da Serra - SP,Rua Flórida, 1.595 - São Paulo - SP,Av Dr Chucri Zaidan, 2460 - São Paulo - SP,Av. Dolores Alcaraz Caldas, 90 - Porto Alegre - RS,Avenida Eng. Carlos Berrini, 105 - São Paulo - SP"
HGRU11,Híbrido,"127,59","7,49%",8.92,"1,02",2.348.480.000,3326500.0,68,"4.567,45","421,21","9,22%","0,97%","Ladeira Capitão Moraes, 49, Itapecerica da Serra, SP,R. Xv De Novembro, 0352, Paranaguá, PR,Av. Professor Francisco Morato, 2585, Butantã, SP,Av. Rio Branco, 511, Adamantina, SP,R. Dez, 482, Guaíra, SP,R. Nove De Julho, 1223, Mirandópolis, SP,Rod. Curitiba Ponta Grossa, km 65, Barigui, PR,Rua Lúcia Viveiros, 4511, Neópolis, Natal, RN,Rua Sete de Setembro, 608 e 617, Piraju, SP,Av. Rio Grande Do Sul, 671, Marechal Cândido Rondon, PR,Praça Da Matriz, 106, Tatuí, SP,Rod. Fernão Dias, 3700 - Km 3,5, Riacho Pedras, Contagem, MG,R. São Paulo, 540/546/552 e 566, Belo Horizonte, MG,R. Barão De Jundiai, 736, 740 e 744, Jundiaí, SP,Praça Capitão Vicente Dias, 135, São José Do Rio Pardo, SP,Rua Quatá, 67, Vila Olímpia, São Paulo, SP,Rua Amazonas Ribas, 402 e R. São Pedro, 1213, Itararé, SP,R. Assis Figueiredo, 1422, Poços de Caldas, MG,Av. Imperatriz Leopoldina, 550, Vila Leopoldina, São Paulo, SP,Rua Miguel Petroni, 5.170, D.F. Embare Cabeceira do Can Can, São Carlos, SP,Av. Bandeirantes, 892, Bandeirantes, PR,R. Campos Sales, 703, Itapetininga, SP,R. Presidente Antonio Carlos, 160, Passos, MG,Rua Padre Adelino, 685, Belém, SP,R. Treze De Maio, 0186, Amparo, SP,Av. Paraná, Esq. R. D. Pedro Ii, 112, Ibiporã, PR,Praça Rui Barbosa, 157, Olímpia, SP,Rod. Dom Pedro I, km 132, Parque Imperador, SP,Av. Coronel Cacildo Arantes, 50, Parque Hiléia, Uberaba, MG,Av. Dr. Jorge Tibiriça, 565, Cruzeiro, SP,R. São Luiz, 693, Marília, SP,Av. Horácio Klabin, 205 e 215, Telêmaco Borba , PR,Rod. BR 230 - Km. 27, s/nº , Esplanada, João Pessoa, PB,R. Floriano Peixoto, 575, Capão Bonito, SP,R. Vinte E Um De Abril, 162, Lins, SP,Av. Mate Laranjeiras, 496, Guaíra - PR, PR,Rua Xingu, 179, Stiep, BA,R. Floriano Peixoto, 963, 967, 971 e 975, Itu, SP,Av. Presidente Vargas, 670, Presidente Epitácio, SP,Av. Jabaquara, 2979, Mirandópolis, SP,Av. Dom Pedro I, 1100, Taubaté, SP,R. Um De Março, 129, Barra Bonita, SP,R. Dr. Pinheiro, 294/312, Itapeva, SP,Av. Brasil, 1168, Pereira Barreto, SP,Av. Cassiano Ricardo, 1993, Jardim Alvorada, SP,R. Dr. Gabriel Rib. Dos Santos, 40, Apiaí, SP,Av. Condessa D Vimieiros, 17, Itanhaém, SP,Praça Bom Jesus, 154, Palmas, PR,Rod. Raposo Tavares, 23.033, Granja Viana, SP,Rod. BR 050 Km 73, nº 7085, Fazenda Buriti, Uberlândia, MG,Av. Presidente Roosevelt, 902, Dracena, SP,Av. Barão De Mauá, 74, Mauá, SP,Estrada do Ribeira, 144, Atuba, PR,Av.Garcia Rodrigues Paes(Acesso Norte),s/n-Área C4, Joquei Clube II, Juiz de Fora, MG,Av. Rui Barbosa, 447, Carapicuíba, SP,Praça Antonio Carlos, 190, Machado, MG,R. Dr. Ataliba Leonel, 671, Taquarituba, SP,Av. Armando Lombardi, 940, Barra da Tijuca, RJ,Av. Dr. Soares De Oliveira, 280 e 272, 282 e 284 e Rua Dr. Getúlio Vargas, 305, Ituverava, SP,R. General Osório, 323, Ribeirão Preto, SP,Av. Joaquina Ramalho, 340, Vila Guilherme, SP,Av. Angélica, 2563, Bela Vista, SP,R. Vinte, 776, Barretos, SP,R. José Bonifácio, 48, Itapira, SP,R. Deputado Claro César, 200, Pindamonhangaba, SP,Av. Paraná, 4195, Conjunto A, Foz do Iguaçu, PR,R"
HPDP11,Shoppings,"89,50","6,72%",6.83,"0,94",294.276.000,807286.0,1,"2.147,72","159,19","7,41%","1,89%","Av. Guilherme Campos 500, Campinas - SP"
HREC11,Títulos e Val. Mob.,"8,73","11,01%",10.61,"0,97",450.186.000,434210.0,0,"0,00","0,00","0,00%","0,00%",
HSAF11,Títulos e Val. Mob.,"84,72","11,92%",11.4,"0,95",214.033.000,597637.0,0,"0,00","0,00","0,00%","0,00%",
HSLG11,Logística,"86,44","9,32%",9.74,"0,83",1.094.340.000,613472.0,5,"2.591,92","275,91","10,64%","4,95%","Rod. BR 116 (Contorno Leste), nº 7000, no município de São José dos Pinhais, Estado do Paraná,,Avenida Comendador Masatoshi Shinmyo, nº 300, no município de Arujá, estado de São Paulo,Avenida Torquato Tapajós, 5709 - Novo Israel, Manaus - AM,Rodovia Municipal Vereador Joaquim Costa, nº 2000, no município de Contagem, Estado de Minas Gerais,Rodovia Coronel PM Nelson Tranchesi, números 740 e 990, no município de Itapevi, Estado de São Paulo"
HSML11,Shoppings,"96,55","7,08%",9.11,"0,89",2.009.070.000,3358240.0,7,"9.763,58","915,91","9,38%","4,39%","Rodovia Raposo Tavares, Km 23, CEP: 06709-015 Lageadinho - Cotia/SP ,Av. Santa Beatriz da Silva, 1501 - São Benedito Uberaba MG,Rua Paranabi, 218-224, CEP: 02307120, Tucuruvi, São Paulo-SP,Estrada da Floresta, 2320, CEP: 69912900, Floresta Sul, Rio Branco - AC,Avenida Luiz Viana, nº 8544, CEP 41730-101 - Alphaville - Salvador, BA,Av. dos Autonomistas, 1828 - Industrial Autonomistas, Osasco - SP, 06020-010,Av. Menino Marcelo, 3800 - Cidade Universitária, Maceió - AL, 57073-900"
HSRE11,Híbrido,"101,97","6,87%",7.49,"1,07",907.403.000,875335.0,26,"7.654,68","663,94","8,67%","3,72%","Alameda dos Tabajaras nº 50, na Cidade do Rio de Janeiro, Rio de Janeiro,Cidade de Fortaleza, Estado do Ceará, na Avenida Washington Soares, 85,Cidade de Salvador, Estado da Bahia, na Avenida Centenário, 2.992,Cidade do Rio de Janeiro, Rio de Janeiro, na Rua Barão de São Francisco, 236,Cidade de Duque de Caxias, Rio de Janeiro, na Praça Pacificador, 39,Cidade do Rio de Janeiro, Rio de Janeiro, na Rua Conde do Bonfim, 366,Rua Oswaldo Cruz nºs 298 e 290; Rua Sete de Setembro nºs 615, 621, 627 e 631; Rua José Augusto Correa nº 295, e está situado na Cidade de São Luís do Maranhão, Maranhão,Cidade do Rio de Janeiro, Rio de Janeiro, na Avenida Dom Helder Câmara, 5.474,Cidade de Belo Horizonte, Minas Gerais, Rua Goitacazes, 182,Cidade de Maceió, Estado de Alagoas, na Avenida Comendador Gustavo Paiva, 2.990,Cidade de Curitiba, Paraná, na Rua Brigadeiro Franco, 2.300,Cidade de Santo André, São Paulo, na Avenida Pereira Barreto nº 42,Cidade do Rio de Janeiro, Rio de Janeiro, na Rua do Ouvidor, 186,Cidade de Vitória, Espírito Santo, na Avenida Jerônimo Monteiro, 1.000,Cidade do Rio de Janeiro, Rio de Janeiro, na Avenida Nossa Senhora de Copacabana, 749,Cidade de Belém, Pará, na Travessa Padre Eutíquio, 1.078,Cidade de Campinas, São Paulo, na Rua Treze de Maio nº 520,Cidade de Belo Horizonte, Minas Gerais, na Avenida Cristiano Machado, 4.000,Rua Antonio Afonso de Toledo, 512/ 465/ 595 - Jardim Sumare, Araçatuba- SP,Cidade de Goiânia, Goiás, na Avenida T-10, 1.300,Cidade de Salvador, Estado da Bahia, na Avenida Centenário, 2.992,Cidade de Recife, Pernambuco, na Avenida Conde da Boa Vista, 484,Cidade de Belo Horizonte, Minas Gerais, Avenida Presidente Carlos Luz, 3.001,Cidade de Brasília, Distrito Federal, no Setor Comercial Sul Q.6, Asa Sul,Cidade de São Paulo, São Paulo, na Av. São João, 455 e Rua 24 de Maio, 70/90,Cidade de Niterói, Rio de Janeiro, na Rua Quinze de Novembro, 08"
HTMX11,Hotel,"190,82","3,97%",13.68,"1,41",287.057.000,746721.0,21,"197.496,00","13.942,67","7,06%","0,00%","Avenida Brigadeiro Faria Lima, 3989, Itaim Bibi, São Paulo/SP, Brasil, 00004-538,Avenida Santo Amaro, 1411, Vila Nova Conceição, São Paulo/SP, Brasil, 04506-000,Av. Nove de Julho 3957, São Paulo, SP, 01407-000,Rua Fernandes Moreira 1293, São Paulo, SP, 04716-003,Rua Bandeira Paulista 555, São Paulo, SP, 04532-011,Av. Eng. Luís Carlos Berrini 853, São Paulo, SP, 04571-000,Av. Ibirapuera 2577, São Paulo, SP, 04029-200,Rua Iguatemi 150, São Paulo, SP, 01451-010,Rua Manuel Guedes, 320,Jardim Europa, Sao Paulo/SP, Brasil, 04536-070,Rua da Consolação 2303, São Paulo, SP, 01301-100,Rua Guararapes 1889,São Paulo, SP, 04561-004,R. Funchal 281,São Paulo, SP, 04551-060,Rua João Cachoeira 111, São Paulo, SP, 04535-01,Rua Fernandes Moreira 1371,São Paulo, SP, 04716-003,Av. Paulista 2355, São Paulo, SP, 01311-300,Rua Baronesa de Bela Vista, 801 - Vila Congonhas, São Paulo, SP, 04612-002,Rua Arizona 1517,São Paulo, SP, 04567-010,Av. Jandira 501, São Paulo, SP, 04080-001,Rua Quintana 963,São Paulo, SP, 04569-011,Av. Brigadeiro Faria Lima 3989, São Paulo, SP, 04538-133,Rua Haddok Lobo 294,São Paulo, SP, 01414-000"
IRDM11,Títulos e Val. Mob.,"72,00","13,04%",12.81,"0,85",2.623.240.000,3611300.0,0,"0,00","0,00","0,00%","0,00%",
JGPX11,Híbrido,"85,35","13,53%",14.04,"0,90",182.756.000,439128.0,0,"0,00","0,00","0,00%","0,00%",
JSAF11,Títulos e Val. Mob.,"99,71","3,23%",11.13,"1,04",772.985.000,2303730.0,0,"0,00","0,00","0,00%","0,00%",
JSRE11,Híbrido,"64,10","8,22%",8.4,"0,58",1.331.190.000,2183470.0,6,"11.322,50","1.082,70","9,56%","7,85%","Av. Jornalista Roberto Marinho, 85, Cidade Monções, Sao Paulo - SP,Rua Eugênio de Medeiros, 303, Pinheiros, São Paulo - SP,Av. Das Nações Unidas, 14171, São Paulo - SP,Av. Paulista, 2064, Bela Vista, São Paulo - SP,Av. Das Nações Unidas, 14171, São Paulo - SP,Praia de Botafogo, 440, Botafogo, Rio de Janeiro - RJ"
KCRE11,Títulos e Val. Mob.,"9,96","11,63%",10.25,"1,00",358.560.000,407221.0,0,"0,00","0,00","0,00%","0,00%",
KFOF11,Títulos e Val. Mob.,"87,41","7,07%",10.48,"0,93",613.143.000,980809.0,0,"0,00","0,00","0,00%","0,00%",
KISU11,Títulos e Val. Mob.,"8,19","17,10%",10.32,"0,95",361.966.000,676253.0,0,"0,00","0,00","0,00%","0,00%",
KIVO11,Títulos e Val. Mob.,"81,11","10,94%",14.87,"0,90",180.286.000,405539.0,0,"0,00","0,00","0,00%","0,00%",
KNCA11,Títulos e Val. Mob.,"105,45","10,07%",11.57,"1,03",2.277.710.000,2621350.0,0,"0,00","0,00","0,00%","0,00%",
KNCR11,Títulos e Val. Mob.,"105,36","10,74%",10.98,"1,04",7.321.390.000,14238200.0,0,"0,00","0,00","0,00%","0,00%",
KNHF11,Híbrido,"98,34","7,05%",10.68,"0,99",1.933.680.000,2925540.0,2,"22.550,80","312,25","1,38%","0,00%","Avenida Horácio Lafer, 160, São Paulo - SP,Avenida Presidente Juscelino Kubitschek, 1.830, São Paulo - SP"
KNHY11,Títulos e Val. Mob.,"106,02","6,85%",11.34,"1,05",2.986.530.000,4052730.0,0,"0,00","0,00","0,00%","0,00%",
KNIP11,Títulos e Val. Mob.,"96,50","12,69%",9.5,"1,01",7.727.540.000,7750740.0,0,"0,00","0,00","0,00%","0,00%",
KNRI11,Híbrido,"154,01","6,12%",7.44,"0,95",4.343.710.000,4905120.0,19,"4.974,33","377,68","7,59%","0,16%","Rua Voluntários da Pátria, 113, Botafogo, Rio de Janeiro - RJ,Avenida Caminho de Goiás, 100, Rodovia Anhanguera, km 66, Jundiaí - SP,Rua Humaitá, 275, Humaitá, Rio de Janeiro - RJ,Avenida Presidente Juscelino Kubitschek, 1.830, São Paulo - SP,Estrada da Lama Preta, 2.805, Santa Cruz, Rio de Janeiro - RJ,Rua do Níquel, 205, Parque Industrial, Itaquaquecetuba - SP,Avenida dos Andradas, 3000, Santa Efigênia, Belo Horizonte - MG,Rodovia Vice Prefeito Hermenegildo Tonolli, km 2, Jundiaí - SP,Rua Gomes de Carvalho, 1.195, Vila Olimpia, São Paulo - SP,Rua Diogo Moreira, 184, São Paulo - SP,Rua Dr. Fernandes Coelho, 64, Pinheiros, São Paulo - SP,Rodovia Mogi-Dutra (SP-088), 11.100 (km 41,4), Mogi das Cruzes - SP,Rua Buenos Aires, 15, Centro, Rio de Janeiro - RJ,Avenida Parque Industrial, 580, Sumaré - SP,Av. Nações Unidas, 14.171 , São Paulo - SP,Rua Joaquim Floriano, 913, Itaim Bibi, São Paulo - SP,Avenida Paulista, 2.421, Bela Vista, São Paulo - SP,Rodovia Fernão Dias, km 863, Algodão, Pouso Alegre - MG,Rod. Dom Gabriel Paulino Bueno Couto, km 82 - Cabreúva - SP28,42"
KNSC11,Títulos e Val. Mob.,"9,26","8,66%",9.92,"1,03",1.229.340.000,3129380.0,0,"0,00","0,00","0,00%","0,00%",
KNUQ11,Títulos e Val. Mob.,"106,13","4,88%",9.48,"1,05",1.625.120.000,2127890.0,0,"0,00","0,00","0,00%","0,00%",
KORE11,Títulos e Val. Mob.,"105,45","7,79%",8.52,"0,99",1.014.960.000,1938280.0,4,"16.217,20","855,02","5,27%","1,72%","Rua Alexandre Dumas, 2100, Santo Amaro, São Paulo - SP,Avenida Roque Petroni Junior, 999, Jardim das Acacias, São Paulo - SP,Alameda Santos, 2477, Jardim Paulista, São Paulo - SP,Praia de Botafogo, 300, Botafogo, Rio de Janeiro - RJ"
LASC11,Shoppings,"112,82","3,33%",6.22,"0,90",331.724.000,1658810.0,2,"15.852,00","1.377,52","8,69%","2,30%","Rua Doutor Silvio Bastos Tavares, 268, Parque Leopoldina, Campos Dos Goytacazes/RJ, Brasil, 28051-250,Rodovia Augusto Montenegro, 804, Lote 21 Da Antiga Fazenda Val-de-cães, Mangueirao, Belem/PA, Brasil, 66640-000"
LGCP11,Logística,"85,13","12,75%",9.44,"0,83",330.269.000,385856.0,5,"3.016,45","375,13","12,44%","0,84%","RUA SIMAO ANTONIO, 255  CINCAO
CEP: 32.371-610 - CONTAGEM  MG,RODOVIA BR 262, nº 222
VILA BETANIA CEP: 29.136-930
VIANA/ES,AV. BRASIL, n.41.432 LOT 1 PARTE 2 PAL 48862 LOT 1 PARTE 1
PAL 48862
Bairro CAMPO GRANDE - Rio de Janeiro - RJ- CEP: 23.078-001,RUA AMÂNCIO GAIOLLI, 426 - ÁGUA CHATA CEP:07.251-250 - GUARULHOS - SP,Rod BR 153, S/N Compl. KM 5.5 QD CH LT SALA 01- Bairro Fazenda Retiro
CEP: 74.620-430
Goiânia  GO"
LIFE11,Outros,"10,55","12,35%",13.31,"1,05",245.481.000,425647.0,0,"0,00","0,00","0,00%","0,00%",
LVBI11,Logística,"111,59","7,20%",9.11,"0,89",1.798.670.000,4797920.0,8,"23,64","2,28","9,66%","0,00%","Estrada Dos Alpes, 320, , Jandira, Barueri/SP, Brasil, 00006-423,Avenida Portugal, 400, Sem Complemento, Itaqui, Itapevi/SP, Brasil, 06696-060,Avenida Papa Joao Xxiii, 3059, Sem Complemento, Loteamento Industrial Coral, Maua/SP, Brasil, 09370-800,Rua Pedro De Alcantara Meira, 1001, Sem Complemento, Fazenda Velha, Araucaria/PR, Brasil, 83704-530,Avenida Mutinga 4935. 4935, Bairro Pirituba, Pirituba, Sao Paulo/SP, Brasil, 05110-903,Avenida Juiz Marco Tulio Isaac, 7001, Sem Complemento, Riacho Da Areia, Betim/MG, Brasil, 32671-072,Km 947.5 Rodovia Fernao Dias,, 947, Minas Gerais, , Extrema/MG, Brasil, 00037-640,Estrada Do Rio Pequeno, S/n, Sem Complemento, Loteamento Fazenda Rio Pequeno, Santo Andre/SP, Brasil, 09161-100"
MALL11,Shoppings,"110,98","17,20%",8.83,"0,93",1.439.740.000,3675010.0,10,"4.283,31","518,64","12,11%","3,64%","Rod. Régis Bittencourt, 2643, Jardim Helena - Taboão da Serra - SP,Av. Henrique Terra, 1700 - Palmeiras, Cabo Frio - RJ,
28911-320, Rodovia Washington Luiz, nº 2.895, Parque Duque,
Duque de Caxias  RJ,Av. Gov. Agamenon Magalhães, 153 - Santo Amaro,
Recife - PE, 50110-000,Rod. dos Metalúrgicos, 1189 - São Geraldo, Volta
Redonda - RJ, 27253-005,Av. Comendador Gustavo Paiva, 2990 - Mangabeiras,
Maceió - AL, 57032-901,Av. João Durval Carneiro, 3665, Caseb - Feira de Santana - BA,R. Sete de Setembro, 555 - Jardim dos Ipês, Suzano -
SP, 08674-210,Estrada do Portela, nº 222, Madureira, Rio de Janeiro - RJ,:R. Jacy Teixeira de Camargo, 940 - Jardim do Lago, Campinas - SP, 13050-913"
MANA11,Títulos e Val. Mob.,"9,28","3,60%",12.49,"0,98",348.335.000,681054.0,0,"0,00","0,00","0,00%","0,00%",
MCCI11,Títulos e Val. Mob.,"90,07","10,56%",11.45,"0,95",1.527.590.000,3191460.0,0,"0,00","0,00","0,00%","0,00%",
MCHY11,Títulos e Val. Mob.,"9,39","6,07%",15.15,"0,96",1.047.910.000,4172850.0,0,"0,00","0,00","0,00%","0,00%",
MFII11,Híbrido,"104,50","5,26%",13.4,"0,97",544.695.000,698912.0,5,"240,83","0,00","0,00%","0,00%","Av. Corifeu de Azevedo Marques, 3870, Butantã, São Paulo - SP,Av. Corifeu de Azevedo Marques, 3870, Butantã, São Paulo-SP,Rua Joaquim Galvão, 346 - Vila Sônia, São Paulo - SP,Av. Paes de Barros, 455, Alto da Mooca, São Paulo - SP,Rua Luís Gemin, Bairro Descampado, Campinas - SP"
MXRF11,Híbrido,"10,14","7,50%",11.52,"1,04",4.434.480.000,13632800.0,3,"101.360,00","0,00","0,00%","0,00%","Avenida José Caballero. 283, Vila Bastos, Santo André,Rua Maria Monteiro. 861, Campinas, São Paulo,Rua Franz Schubert. 184, Jardim Europa, São Paulo"
NEWL11,Híbrido,"122,98","21,43%",9.13,"0,67",250.031.000,392003.0,3,"2.547,61","487,21","19,12%","0,00%","Rua Iza Costa, 1104 - Goiania,Av. Jerome Case, 2600 - Soracaba,Rodovia RSC 453, nº 32503 - Caxias do Sul"
OUJP11,Híbrido,"80,20","13,90%",13.06,"0,81",260.841.000,793822.0,0,"0,00","0,00","0,00%","0,00%",
PATL11,Logística,"61,57","11,98%",10.88,"0,63",307.329.000,442547.0,4,"1.978,18","291,88","14,75%","0,00%","Av. Nossa Senhora Auxiliadora, 831, Jundiaí - SP, CEP: 13214-855,Av. José Carlos Costa, 688  Ribeirão das Neves, MG,Av. Nossa Senhora Auxiliadora, 901, Jundiaí - SP, CEP: 13214-855,Av. Industrial Alda Mendes Bernardes, 1881  Itatiaia, RJ"
PMIS11,Títulos e Val. Mob.,"9,36","6,22%",6.19,"0,99",117.000.000,318884.0,0,"0,00","0,00","0,00%","0,00%",
PORD11,Títulos e Val. Mob.,"8,82","12,21%",12.23,"0,92",328.843.000,595177.0,0,"0,00","0,00","0,00%","0,00%",
PVBI11,Lajes Corporativas,"93,69","5,76%",8.24,"0,89",2.541.820.000,4996420.0,7,"24.284,60","1.510,51","6,22%","15,55%","Avenida Brigadeiro Faria Lima, 4440, Itaim Bibi, São Paulo/SP, Brasil, 04538-132,Rua Elvira Ferraz, 68, Vila Olímpia, São Paulo/SP, Brasil, 04552-040,Avenida Brigadeiro Luis Antonio, 3521, Jardim Paulista, Sao Paulo/SP, Brasil, 01401-001,Rua Ministro Jesuino Cardoso, 454, 1º, 2º, 7º E 10º Pavimentos, Vila Nova Conceicao, Sao Paulo/SP, Brasil, 04544-051,Rua Leopoldo Couto Magalhaes Junior, 822, Itaim Bibi, Sao Paulo/SP, Brasil, 04542-000,Avenida Cidade Jardim, 803, Itaim Bibi, Sao Paulo/SP, Brasil, 01453-000,Rua Fidencio Ramos, 302, Vila Olimpia, Sao Paulo/SP, Brasil, 04551-010"
RBFF11,Títulos e Val. Mob.,"61,31","9,93%",9.4,"0,93",229.864.000,356363.0,0,"0,00","0,00","0,00%","0,00%",
RBHG11,Títulos e Val. Mob.,"83,50","9,46%",11.95,"0,94",181.024.000,382693.0,0,"0,00","0,00","0,00%","0,00%",
RBRF11,Títulos e Val. Mob.,"7,51","9,04%",9.32,"0,86",1.027.430.000,2469040.0,0,"0,00","0,00","0,00%","0,00%",
RBRL11,Logística,"80,35","9,72%",10.35,"0,79",537.303.000,391646.0,5,"2.393,87","264,27","11,04%","0,00%","Est Carlos Roberto Prataviera, nº 650, Hortolândia, Comarca de Sumaré/SP,Estrada Municipal Vargem do João Pinto nº 450, Gleba 1 - Extrema/MG,Rod. Presidente Tancredo Neves, km45,Estrada Municipal Luiz Lopes Neto, nº 21, Bairro dos Tenentes - Extrema/MG,Condomínio Tech Town, unid nº7, Rodovia SP 101, Hortolândia, Comarca de Sumaré/SP"
RBRP11,Outros,"58,52","4,68%",8.43,"0,74",712.726.000,1199470.0,6,"10.769,80","649,92","6,03%","0,00%","Rua Cincinato Braga, 340 - Bela Vista - São Paulo - SP,Av. República do Chile, 230  Centro, Rio de Janeiro - RJ,Av. Brigadeiro Faria Lima nº 1.461, Pinheiros, São Paulo/SP,Rua Casa do Ator, 1.155 - Vila Olímpia - São Paulo - SP,Rua Gerivatiba, esquina com a Rua Pirajussara, nºs 71,
87 e 95, com frente também para a Rua Desembargador Armando Fairbanks, nº 32,
Pinheiros, São Paulo  SP.,Avenida Venezuela, 43 - Saúde - Rio de Janeiro - RJ"
RBRR11,Títulos e Val. Mob.,"91,23","8,15%",10.31,"0,97",1.373.670.000,2871510.0,0,"0,00","0,00","0,00%","0,00%",
RBRX11,Títulos e Val. Mob.,"9,09","6,32%",13.51,"0,94",267.870.000,1025740.0,0,"0,00","0,00","0,00%","0,00%",
RBRY11,Títulos e Val. Mob.,"95,94","8,39%",13.13,"0,98",1.225.110.000,3479380.0,0,"0,00","0,00","0,00%","0,00%",
RBVA11,Outros,"107,99","8,46%",11.32,"1,00",1.348.290.000,1351640.0,71,"6.668,52","756,97","11,35%","5,39%","Avenida Jorge Zarur, 100,Rua Sesefredo Klein Doll, 12,Av. Indianópolis, 2.125,Rua Desembargador Góes Cavalcante, 261,Av. Liberdade, 151,Av. Sto. Amaro, 3332 ,Rua Mariz e Barros, 79,R. Pedro Vicente, 222,Av. Padre Antônio Jose Dos Santos, 872,Praça Visconde de Mauá, 20,R. Marechal Deodoro, 460,Rua Dr. Nilo Peçanha, 125,Av. Paulista, 1.227,Rua Floriano Peixoto, 915,Av Eng. Luiz Carlos Berrini, 1307,Rua Antônio Vieira, 24 - Loja A,Estrada de Taipas, 355,Rua Oscar Freire, 585, Jardins,Av. João Pinheiro, 500,Rua Visconde de Pirajá, 127,Rua das Palmeiras, 233 - loja,Rua Imperador Dom Pedro II, 255,Av. Marechal Câmara, nº 160,Rua Salvador Gianetti, 436,Av. Rio Branco, 311-B,Rua Alves Guimarães, 50,Rua Marechal Deodoro, 195,-,Av. Rio Branco, 1.675 - loja,Rua Paes Leme, 250/258,Estrada do Pernambuco, 500,Rua Dr. Feliciano Sodré, 111,Rua 7 de Setembro, 1100,Avenida Vereador João Batista Fitipaldi, 115,Rua Haddock Lobo, 1573, Jardins,R. Barao de Jundiai, 884,Rua Pedro I, 373,Rua Dias da Cruz, 28-A,Via Anchieta, 1.558,Rua João de Almeida, 72,Rua dos Italianos, 609,Av. Mateo Bei, 413,Av. Afrânio de Melo Franco, 131,Av. Mateo Bei, 3286,Av. República do Chile, nº 230,Av. de Pinedo, 228,Av. das Américas, 15.545,Rua Serra do Japi, 647,Av. Rio Branco, 115,Avenida Salgado Filho, 1301  Centro,Av. Marechal Floriano Peixoto, nº 2.370,Rua Guerino Giovani Leardini, 63/67,Rua Santa Filomena, nºs 677, 687 e 697, Centro,Av. Duque de Caxias, 200 - Sta. Ifigênia,Av Paulista 447 Loja ,Lg. Páteo do Colégio, 1,EQ 406/407-SUL  Lote 1 - Brasília - DF,Rua. Senador Flaquer, 305,-,Avenida das Esmeraldas, 512,Av. Santa Catarina, 287,Rua Buenos Aires, 48,Av. do Cursino, 1348,Av. Senador Queiroz, nº 85 a 111 - Lj 1 a 3,Av. Paulista, 726 - L1,Rua 12, 239,Av. do Imperador, 3892,Est. Rio do A, 1131,Av. Barão de Itapura, 2233,Av. Paulista, 436"
